task,noise,method,k,seed,n_edges,frac_edges,frac_syn,sugar100__readout_full,sugar100__readout,sugar100__readout_ratio,sugar100__readout_trial_sd,sugar100__n_active_full,sugar100__n_active,sugar100__jaccard_active,sugar100__pearson_union,sugar100__pearson_fullactive,sugar100__mean_abs_rate_diff,wall_s
sugar,0.0,rand,3,0,3428019,0.2334021552676763,0.233949453645353,68.33333333333333,0.0,0.0,0.0,361,27,0.074792243767313,0.4519595867799819,0.4519595867799819,20.157894736842103,440
sugar,0.0,rand,3,1,3428019,0.2334021552676763,0.2333254769575554,68.33333333333333,0.0,0.0,0.0,361,16,0.0443213296398892,0.4542003426209474,0.4542003426209474,20.42843951985226,313
sugar,0.0,rand,3,2,3428019,0.2334021552676763,0.2334372896704468,68.33333333333333,0.0,0.0,0.0,361,22,0.0609418282548476,0.4377859181548436,0.4377859181548436,20.13942751615882,241
sugar,0.0,dp,3,0,3428019,0.2334021552676763,0.686400230906606,68.33333333333333,0.0,0.0,0.0,361,54,0.002415458937198,-0.210871287671765,-0.0449769365589854,19.24798711755233,184
sugar,0.0,dp,3,1,3428019,0.2334021552676763,0.686400230906606,68.33333333333333,0.0,0.0,0.0,361,71,0.0,-0.2315805486390773,,18.781635802469136,448
sugar,0.0,dp,3,2,3428019,0.2334021552676763,0.686400230906606,68.33333333333333,0.0,0.0,0.0,361,119,0.0020876826722338,-0.2618221412109818,0.064812745544804,17.61934585942937,270
sugar,0.0,act,3,0,3428019,0.2334021552676763,0.6846584301567088,68.33333333333333,67.66666666666667,0.9902439024390244,6.128258770283412,361,353,0.9193548387096774,0.9976337090636695,0.997588935751164,1.1594982078853049,274
sugar,0.0,mag,5,0,2071412,0.1410353983590312,0.5733365339714506,68.33333333333333,65.0,0.951219512195122,2.160246899469287,361,322,0.8262032085561497,0.9479740033172356,0.947195445585849,5.546345811051694,196
sugar,0.0,rand,5,0,2071412,0.1410353983590312,0.1408182716861021,68.33333333333333,0.0,0.0,0.0,361,7,0.0193905817174515,0.183728791458467,0.183728791458467,20.822714681440445,197
sugar,0.0,rand,5,1,2071412,0.1410353983590312,0.1410145832152241,68.33333333333333,0.0,0.0,0.0,361,11,0.0304709141274238,0.2751453877250921,0.2751453877250921,20.69529085872576,166
sugar,0.0,rand,5,2,2071412,0.1410353983590312,0.1410327861657727,68.33333333333333,0.0,0.0,0.0,361,10,0.0248618784530386,0.373151578916546,0.3735541556988238,20.5902394106814,133
sugar,0.0,dp,5,0,2071412,0.1410353983590312,0.5733365339714506,68.33333333333333,0.0,0.0,0.0,361,79,0.0045662100456621,-0.2367455517106546,-0.0165687123596198,18.58904109589041,147
sugar,0.0,dp,5,1,2071412,0.1410353983590312,0.5733365339714506,68.33333333333333,0.0,0.0,0.0,361,66,0.0047058823529411,-0.2107785211359306,-0.0493775474702495,18.898823529411764,286
sugar,0.0,dp,5,2,2071412,0.1410353983590312,0.5733365339714506,68.33333333333333,0.0,0.0,0.0,361,70,0.0,-0.2162711798042204,,18.634957463263728,329
sugar,0.0,act,5,0,2071412,0.1410353983590312,0.5703056195842079,68.33333333333333,63.333333333333336,0.926829268292683,1.699673171197595,361,350,0.9164420485175202,0.9980744129752744,0.9980393536562602,1.1132075471698113,532
sugar,0.0,mag,10,0,895137,0.060946834034421,0.4067287727599152,68.33333333333333,53.66666666666666,0.7853658536585366,1.699673171197595,361,269,0.6844919786096256,0.8206735660137335,0.8208265924034426,10.51693404634581,414
sugar,0.0,rand,10,0,895137,0.060946834034421,0.0610431305938202,68.33333333333333,0.0,0.0,0.0,361,3,0.0083102493074792,0.0897198949516296,0.0897198949516296,21.07663896583564,692
sugar,0.0,rand,10,1,895137,0.060946834034421,0.0608190316261396,68.33333333333333,0.0,0.0,0.0,361,3,0.0083102493074792,0.2570144599162848,0.2570144599162848,21.025854108956604,321
sugar,0.0,rand,10,2,895137,0.060946834034421,0.0610677737141779,68.33333333333333,0.0,0.0,0.0,361,6,0.0166204986149584,0.2955116529490366,0.2955116529490366,20.933518005540165,265
sugar,0.0,dp,10,0,895137,0.060946834034421,0.4067287727599152,68.33333333333333,0.0,0.0,0.0,361,72,0.0023148148148148,-0.2065507738610573,0.0761983422074195,18.542438271604937,236
sugar,0.0,dp,10,1,895137,0.060946834034421,0.4067287727599152,68.33333333333333,0.0,0.0,0.0,361,60,0.0071770334928229,-0.2038609087312693,-0.0361722189464289,19.02791068580542,171
sugar,0.0,dp,10,2,895137,0.060946834034421,0.4067287727599152,68.33333333333333,0.0,0.0,0.0,361,84,0.0022522522522522,-0.2229574002426275,-0.0344045968008427,18.15840840840841,347
sugar,0.0,act,10,0,895137,0.060946834034421,0.4007118546990102,68.33333333333333,67.0,0.9804878048780488,4.96655480858378,361,352,0.9427792915531336,0.9971835131270383,0.9971507730468732,1.2052679382379656,381
sugar,0.0,mag,20,0,323821,0.0220478705984226,0.2519982378937735,68.33333333333333,7.666666666666667,0.1121951219512195,4.109609335312651,361,132,0.3433242506811989,0.5907434756591474,0.5922148769304248,17.891916439600365,446
sugar,0.0,rand,20,0,323821,0.0220478705984226,0.0221386140856855,68.33333333333333,0.0,0.0,0.0,361,1,0.002770083102493,0.1323130686160229,0.1323130686160229,21.10064635272392,224
sugar,0.0,rand,20,1,323821,0.0220478705984226,0.0218883377218986,68.33333333333333,0.0,0.0,0.0,361,2,0.0055401662049861,0.2344707131188334,0.2344707131188334,21.01939058171745,151
sugar,0.0,rand,20,2,323821,0.0220478705984226,0.0220462544739528,68.33333333333333,0.0,0.0,0.0,361,0,0.0,,,21.10156971375808,147
